연번,도로명주소,지번주소,위도,경도,건물명,구 명칭,전화번호,유형,개방시간,소재지 용도,화장실 현황,장애인화장실 현황,편의시설 (기타설비),안내표지,소재지,비고
21,서울특별시 성동구 금호산2길 25,서울특별시 성동구 금호동3가 474-2,127.0224298,37.5489939,금남시장 뒤,성동구, ,공중,상시(연중개방),화장실, ,손건조기2, , , , 
22,서울특별시 성동구 장터길 42,서울특별시 성동구 금호동4가 1124,127.0204942,37.54814757,금호4가 얼음가게,성동구, ,공중,상시(연중개방),화장실, ,비상벨2, , , , 
23,서울특별시 성동구 독서당로46길 26,서울특별시 성동구 금호동4가 803,127.0223357,37.54717396,금호4가 주민센터,성동구, ,공공개방,09:00-18:00,공공청사, , , , , , 
24, ,서울특별시 성동구 금호동4가 산 28-1,127.0206115,37.54484853,달맞이봉,성동구, ,공중,상시(연중개방),공원, ,비상벨3, , , , 
25,서울특별시 성동구 독서당로40길 21,서울특별시 성동구 옥수동 산 2-1,127.0175061,37.54431575,미타사,성동구, ,민간개방1,상시,종교시설, , , , , , 
26,서울특별시 성동구 독서당로 398,서울특별시 성동구 응봉동 100,127.0322121,37.55079614,응봉대림1차노변상가,성동구, ,민간개방1,08:00-24:00,빌딩, , , , , , 
27, ,서울특별시 종로구 청운동 7-3,126.9662529,37.59108996,인왕산도시자연공원 청운지구(2)-청운공원,종로구,02-2148-2832,공중,상시, , , , , , , 
28,서울특별시 종로구 창의문로3길 21,서울특별시 종로구 청운동 7-2,126.966167,37.59119002,인왕산도시자연공원 청운지구(1층),종로구,02-2148-2832,공중,상시(연중개방),공원, ,"비상벨7, 손건조기2", , , , 
29,서울특별시 동작구 동작대로 31,서울특별시 동작구 사당동 1031-31,126.9813528,37.4794253,화민빌딩,동작구,02-820-9143,민간개방1,정시(09:00~20:00),빌딩,남2,손건조기2, , , , 
30,서울특별시 종로구 청계천로 383,서울특별시 종로구 숭인동 234-85,127.019798,37.57188017,숭인빌딩 개방화장실,종로구, ,민간개방, ,상가, , , , , , 
31,서울특별시 종로구 사직로 130,서울특별시 종로구 적선동 80,126.9733535,37.57562822,경복궁역,종로구,02-6110-3271,공공개방,정시 (영업시작~종료),지하철,공용1,기저귀교환대1유아용보호의자1비상벨7손건조기3, , , , 
32,서울특별시 종로구 경희궁1길 15,서울특별시 종로구 신문로2가 1-122,126.9706714,37.57137447,사직동 주민센터,종로구,02-2148-5032,공공개방,정시(평일09:00~18:00),공공청사, , , , , , 
33,서울특별시 마포구 환일길 13,서울특별시 마포구 아현동 711-2,126.9601746,37.55669896,삭제 서부수도사업소,마포구,02-3153-9234,공공개방,정시,공공청사, ,손건조기4, , , , 
34,서울특별시 종로구 통일로8길 16,서울특별시 종로구 송월동 148,126.9655614,37.56938263,서대문교회,종로구, , , , , , , , , , 
35,서울특별시 종로구 사직로 65,서울특별시 종로구 사직동 262-85,126.9666266,37.57446078,주식회사 대양씨앤씨 사직주유소(1층),종로구,02-2148-2475,공중,상시(연중개방),주유소및충전소, ,손건조기2, , , , 
153,서울특별시 강남구 영동대로 416,서울특별시 강남구 대치동 1002,127.0653142,37.50658057,코스모타워(KT&G),강남구,02-3423-5963,민간개방1,상시,빌딩,여1, , , , , 
154,서울특별시 강남구 영동대로 429,서울특별시 강남구 대치동 946-13,127.0631369,37.50763095,세아빌딩,강남구,02-3423-5963,민간개방1,정시,빌딩, , , , , , 
155,서울특별시 강남구 역삼로 542,서울특별시 강남구 대치동 966-5,127.0623336,37.50397723,신사에스엔지,강남구,02-3423-5963,민간개방,정시,상가(시장), , , , , , 
156,서울특별시 강남구 개포로109길 62,서울특별시 강남구 개포동 13-1,127.078775,37.49606899,대진근린공원,강남구,02-3423-5963,공중,상시,공원,"남1,여1", , , , , 
157,서울특별시 강남구 개포로124길 24,서울특별시 강남구 일원동 621,127.0829892,37.49319543,대청근린공원,강남구,02-3423-5963,공중,상시,공원,"남1,여1", , , , , 
158,서울특별시 강남구 개포로 603,서울특별시 강남구 개포동 12-7,127.0731573,37.49197476,예지어린이공원,강남구,02-3423-5963,공중,상시,공원, , , , , , 
159,서울특별시 강남구 일원로8길 44,서울특별시 강남구 일원동 690,127.0775394,37.48977561,늘푸른근린공원, ,02-3423-5964, , , , , , , , , 
160,서울특별시 강남구 선릉로 35,서울특별시 강남구 개포동 660-1,127.0599822,37.48227258,개포1동주민센터,강남구,02-3423-5963,공공개방,정시,공공청사,남1, , , , , 
161,서울특별시 강남구 광평로56길 11,서울특별시 강남구 수서동 723-1,127.1054066,37.48753847,수서개나리어린이공원,강남구,02-3423-5963,공중,상시,공원,"남1,여1", , , , , 
162,서울특별시 강남구 광평로60길 22,서울특별시 강남구 수서동 721,127.1069374,37.48698098,강남세움센터,강남구,02-3423-5963,공공개방,정시,공용시설,"남4,여8", , , , , 
163,서울특별시 강남구 밤고개로 286,서울특별시 강남구 율현동 278-1,127.1069026,37.46904982,세곡문화센터,강남구,02-3423-5963,공공개방,정시,공공청사,"남4,여4", , , , , 
164,서울특별시 강동구 고덕로 456,서울특별시 강동구 상일동 산 73,127.1757447,37.55750043,강일역, , , , , , , , , , , 
165,서울특별시 강북구 삼양로 265,서울특별시 강북구 미아동 791-963,127.0179558,37.62705481,광명빌딩 개방화장실, , , , , , , , , , , 
166,서울특별시 강북구 도봉로 302,서울특별시 강북구 번동 449-6,127.0237416,37.63535989,한국마사회개방화장실, ,02-901-6773, , , , , , , , , 
167,서울특별시 서초구 방배로 47,서울특별시 서초구 방배동 1032,126.9989688,37.47895951,누리시아웨딩홀_폐쇄,서초구, ,민간개방1,정시,빌딩, , , , , , 
168,서울특별시 서초구 반포대로 333,서울특별시 서초구 반포동 1-6,126.998663,37.50907356,원베일리 공공보행통로 공중화장실, ,02-2155-6736,공중화장실,상시,공중화장실,남 소변 2 / 대변 1 여 대변 3,남 1 / 여 1,손 건조기, , , 
169,서울특별시 강동구 풍성로63길 84,서울특별시 강동구 둔촌동 444,127.140334,37.53173854,신성통상개방화장실, , , , , , , , , , , 
170,서울특별시 강동구 고덕로 295,서울특별시 강동구 고덕동 296,127.1580197,37.55611667,서울고덕평생학습관,강동구,02%293425-5864,공중,상시,공원, , , , , , 
171,서울특별시 강동구 천중로 215,서울특별시 강동구 길동 344-4,127.1443373,37.54097161,길동 119안전센터,강동구,02%29487-6119,공공개방,상시,공공청사, , , , , , 
172,서울특별시 강동구 선사로 70,서울특별시 강동구 천호동 329,127.1221418,37.54482575,천호유수지공영주차장, , , , , , , , , , , 
173,서울특별시 강동구 천호대로 1097,서울특별시 강동구 성내동 160-52,127.1323856,37.53581298,강동역, , , , , , , , , , , 
174,서울특별시 강동구 성내로 25,서울특별시 강동구 성내동 540-1,127.124411,37.52986949,강동구청 제2청사화장실,강동구,02%29477-0162,공공개방,상시,공공청사,"남1,여1",손건조기, , , , 
175,서울특별시 강동구 고덕로24길 49,서울특별시 강동구 암사동 474-6,127.1357291,37.55234969,암사1동주민자치회관, , , , , , , , , , , 
176,서울특별시 강동구 구천면로 633,서울특별시 강동구 상일동 513-2,127.1681786,37.55049391,상일1동주민센터, , , , , , , , , , , 
177,서울특별시 강동구 양재대로 1634,서울특별시 강동구 명일동 312-104,127.144333,37.55122669,명일1동주민센터(임시),강동구, , , , , , , , , , 
178,서울특별시 강동구 양재대로156길 123,서울특별시 강동구 고덕동 691-6,127.1515336,37.55722414,고덕1동주민센터,강동구, , , , , , , , , , 
179,서울특별시 강동구 올림픽로80길 60,서울특별시 강동구 천호동 422-12,127.1282892,37.54243864,천호2동주민센터,강동구, , , , , , , , , , 
180,서울특별시 강동구 상일로6길 51,서울특별시 강동구 상일동 502-2,127.1758909,37.54987987,상일2동주민센터,강동구, , , , , , , , , , 
181,서울특별시 강동구 구천면로 297-5,서울특별시 강동구 천호동 293-8,127.1338427,37.54684559,천호보건지소 화장실, , , , , , , , , , , 
182,서울특별시 강동구 아리수로82길 42,서울특별시 강동구 고덕동 215,127.1677166,37.5609754,고덕초교 건너편,강동구,02%293425-5864,공중,상시,공원, , , , , , 
183, ,서울특별시 강동구 둔촌동 산 119,127.1516816,37.5339408,일자산공원(도시농업),강동구,02%293425-5864,공중,상시,공원, ,손건조기, , , , 
184, ,서울특별시 중랑구 중화동 311-65,127.0770697,37.60203481,중화2동 주민센터 개방화장실, , ,개방화장실,(평일)09:00~18:00, , , , , , , 
185,서울특별시 종로구 대학로 120,서울특별시 종로구 동숭동 1-27,127.0023063,37.58186629,KFC 대학로점,종로구, ,민간개방, ,음식점, , , , , , 
186,서울특별시 종로구 대학로 101,서울특별시 종로구 연건동 28-21,126.9975763,37.57872985,서울대학교병원 외래암센터 공공개방화장실,종로구, ,공공개방, ,병원, , , , , , 
187,서울특별시 종로구 율곡로 58,서울특별시 종로구 경운동 96-18,126.9858327,37.57635156,재동주유소,종로구,020-732-3968,민간개방,(평일) 06:00~23:00 (주말) 06:00~23:00,주유소, , , , , , 
188,서울특별시 종로구 자하문로15길 18,서울특별시 종로구 통인동 10-3,126.9699323,37.5807623,통인시장 고객지원센터화장실,종로구,02-722-0911,공중,정시(08:00-22:00),상가(시장), , , , , , 
189,서울특별시 종로구 종로32길 19-1,서울특별시 종로구 종로5가 395-8,127.0012874,37.57013359,광장전통시장 고객지원센터, , ,공중, , , , , , , , 
36,서울특별시 용산구 이태원로 224-19,서울특별시 용산구 한남동 685-46,127.000284,37.5348186,한남동 공영주차장,용산구, ,공공개방, , , , , , , , 
37,서울특별시 용산구 이촌로 164,서울특별시 용산구 이촌동 302-79,126.9652958,37.52136817,한국석유공업(주)한석주유소,용산구, ,민간개방, , , , , , , , 
38,서울특별시 용산구 이촌로 224,서울특별시 용산구 이촌동 300-27,126.9718659,37.52025526,한강쇼핑센터,용산구, ,민간개방, , , , , , , , 
39,서울특별시 용산구 청파로49길 6,서울특별시 용산구 청파동2가 91-1,126.9698109,37.54558925,청파동 주민센터,용산구, ,공공개방, , , , , , , , 
40,서울특별시 용산구 청파로83길 26,서울특별시 용산구 서계동 33-49,126.9677099,37.55200529,청파노인복지관,용산구, ,공공개방, , , , , , , , 
41,서울특별시 용산구 한강대로39길 40,서울특별시 용산구 한강로2가 2-341,126.9686841,37.5316893,철길담장옆 공중화장실,용산구, ,공공개방, , , , , , , , 
42,서울특별시 용산구 원효로 178,서울특별시 용산구 원효로2가 70-2,126.9626857,37.53560163,(주)영원에너지 풍기주유소,용산구, ,민간개방, , , , , , , , 
43,서울특별시 용산구 원효로 147,서울특별시 용산구 원효로3가 46-6,126.9591906,37.53468263,신태성주유소,용산구, ,민간개방, , , , , , , , 
44,서울특별시 용산구 한남대로 82,서울특별시 용산구 한남동 707-14,127.0061058,37.53603513,주식회사 중앙 에너비스 에너비스,용산구, ,민간개방, , , , , , , , 
45,서울특별시 용산구 녹사평대로11길 24,서울특별시 용산구 서빙고동 37,126.9933468,37.52221066,(주)남경주유소,용산구, ,민간개방,영업시간내, , , , , , , 
46,서울특별시 용산구 청파로 74,서울특별시 용산구 한강로3가 16-9,126.9604089,37.53290127,전자랜드,용산구, ,민간개방, , , , , , , , 
47,서울특별시 용산구 이태원로15길 34,서울특별시 용산구 이태원동 190-11,126.9899677,37.53565782,이태원어린이공원,용산구, ,공중,상시, , , , , , , 
48,서울특별시 용산구 녹사평대로40다길 37,서울특별시 용산구 이태원동 191-3,126.9897508,37.53593405,이태원동부군당역사공원,용산구, ,공공개방,09~18시, , , , , , , 
49,서울특별시 용산구 이태원로 164,서울특별시 용산구 이태원동 72-34,126.9921588,37.53417609,이태원3 공중화장실,용산구, , , , , , , , , , 
50,서울특별시 용산구 청파로 77,서울특별시 용산구 원효로3가 51-30,126.9598654,37.53371001,원효전자상가,용산구, ,민간 개방,09~20시, , , , , , , 
51,서울특별시 용산구 백범로 350,서울특별시 용산구 문배동 19-2,126.9676806,37.53721626,원효로1동 주민센터,용산구, ,공공개방,09~18시, , , , , , , 
52,서울특별시 용산구 한강대로 343-1,서울특별시 용산구 갈월동 71-3,126.971461,37.54896713,용산푸드뱅크마켓,용산구, ,공공개방,09~18시, , , , , , , 
53,서울특별시 용산구 이촌로71길 24,서울특별시 용산구 이촌동 301-82,126.9733985,37.52137359,용산청소년센터,용산구, ,공공개방,09~18시, , , , , , , 
54,서울특별시 용산구 효창원로8길 28,서울특별시 용산구 원효로4가 87-4,126.9522046,37.5334629,용산문화원,용산구, ,공공개방,09~18시, , , , , , , 
55,서울특별시 용산구 청파로49길 34,서울특별시 용산구 청파동2가 35-20,126.9685194,37.54551866,용산구자원봉사센터,용산구, ,공공개방,09~18시, , , , , , , 
56,서울특별시 용산구 효창원로69가길 2,서울특별시 용산구 효창동 5-32,126.9613956,37.54166916,용산구시설관리공단,용산구, ,공공개방,09~18시, , , , , , , 
57,서울특별시 용산구 이태원로 274,서울특별시 용산구 한남동 728-10,127.0021017,37.53902884,용산공예관,용산구, ,공공개방,10시~19시, , , , , , , 
58,서울특별시 용산구 한남대로 204,서울특별시 용산구 한남동 726-370,127.0029025,37.54606275,에이치디현대오일뱅크㈜ 직영한남동주유소,용산구, ,민간개방,상시, , , , , , , 
59,서울특별시 용산구 한강대로 322,서울특별시 용산구 갈월동 11-34,126.9722289,37.54703266,에이치디현대오일뱅크㈜ 직영갈월동주유소,용산구, ,민간개방,상시, , , , , , , 
60,서울특별시 용산구 원효로 9,서울특별시 용산구 청암동 168-38,126.9457226,37.53471933,에이치디현대오일뱅크㈜  직영강변현대주유소,용산구, ,민간개방,상시, , , , , , , 
61,서울특별시 용산구 소월로 66,서울특별시 용산구 후암동 448-103,126.9777206,37.55445096,에이치디현대오일뱅크(주) 직영소월길주유소,용산구, ,민간개방, , , , , , , , 
62,서울특별시 용산구 원효로56길 38,서울특별시 용산구 신계동 28-33,126.9632842,37.53401403,신계동 공중화장실,용산구, , ,상시, , , , , , , 
63,서울특별시 용산구 이촌로2길 17,서울특별시 용산구 이촌동 173-1,126.9535749,37.53065253,성촌공원(녹지),용산구, ,공공개방, , , , , , , , 
64,서울특별시 용산구 한강대로104길 6,서울특별시 용산구 동자동 14-125,126.972355,37.55021386,선익상사(주)동자동주유소,용산구, , , , ,"남성,여성", , , , , 
65,서울특별시 용산구 새창로 213,서울특별시 용산구 한강로2가 2-196,126.9672797,37.5305253,석우빌딩,용산구,02-792-1257,민간개방,상시, ,"남성, 여성",없음, , , , 
66,서울특별시 용산구 청파로 367,서울특별시 용산구 서계동 47-15,126.9689861,37.5523496,서계주유소,용산구,02-706-6485,민간개방,상시, ,"남성, 여성",없음, , , , 
67,서울특별시 용산구 한강대로39길 21,서울특별시 용산구 한강로2가 2-194,126.9675625,37.53084937,삼영연립 공중화장실,용산구,02-2199-7325,민간개방,상시, ,"남성, 여성",없음, , , , 
68,서울특별시 용산구 백범로99가길 60,서울특별시 용산구 한강로2가 2-284,126.9703468,37.53394282,삼각지차고 옆 공중화장실,용산구,02-2199-7325,공공개방,상시, ,"남성, 여성",없음, , , , 
69,서울특별시 용산구 이촌로 343-20,서울특별시 용산구 용산동6가 69-11,126.983296,37.51792399,동작대교 하부 탁구장,용산구,02-2199-7612,간이화장실,08:00~16:00, ,"남성, 여성", , , , , 
70,서울특별시 용산구 청파로 100,서울특별시 용산구 한강로3가 2-8,126.9623699,37.53288093,나진상가,용산구,02-704-3019,민간 개방,09:00~19:00, ,"남성용, 여성용",없음, , , , 
71,서울특별시 용산구 백범로 329,서울특별시 용산구 원효로1가 25,126.9652858,37.53882336,꿈나무 종합타운,용산구,02-707-0704,공공개방,08:00~22:00, ,"남성, 여성, 장애인, 어린이용","남성, 여성 장애인","귀저기 교환대(남성, 여성 화장실)", , , 
72,서울특별시 용산구 백범로43길 8,서울특별시 용산구 효창동 5-267,126.9578253,37.54113229,광성빌딩,용산구, ,민간개방,연중무휴, , , , , , , 
73,서울특별시 용산구 한강대로21나길 17,서울특별시 용산구 한강로3가 40-999,126.9645254,37.5298081,HDC아이파크몰,용산구,02-2012-0101,민간개방,10:30~18:00, ,"남성, 여성, 장애인",장애인 대변기 1, , , , 
74,서울특별시 종로구 비봉길 64,서울특별시 종로구 구기동 139,126.9554889,37.61415605,이북오도청 1층,종로구,02-2287-2551,공공개방,"평일 : 09:00~18:00, 토,일요일미개방",공공청사, , , , , , 
75,서울특별시 광진구 강변북로 2210,서울특별시 광진구 자양동 97-5,127.0665507,37.53025592,한강공원화장실뚝섬13,광진구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경수질과, , , 
76, ,서울특별시 광진구 자양동  112,127.0663647,37.52987216,한강공원화장실뚝섬11,광진구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경수질과, , , 
77, ,서울특별시 광진구 자양동  435,127.0727524,37.52885213,한강공원화장실뚝섬8,광진구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경수질과, , , 
78, ,서울특별시 광진구 자양동  704-6,127.0845374,37.5272537,한강공원화장실뚝섬2,광진구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
79,서울특별시 중구 을지로 227,서울특별시 중구 을지로5가 40-3,127.0043,37.56686501,훈련원주차장 지하1층 화장실,중구, , , , , , , , , , 
80, ,서울특별시 노원구 공릉동  657-8,127.0783375,37.618268,공릉가로공원 공중화장실,노원구, ,공중화장실,상시,공원,남녀분리,없음,기저귀교환대 없음, , , 
81,서울특별시 종로구 청계천로 295,서울특별시 종로구 창신동 436-79,127.0106768,37.57006886,동대문신발상사A동 357호,종로구, , , , , , , , , , 
82, ,서울특별시 강남구 청담동  342-2,127.0514016,37.52884056,한강공원화장실잠원1,강남구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
83, ,서울특별시 강동구 암사동  148-9,127.1286784,37.56211191,한강공원화장실광나루2,강동구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
84, ,서울특별시 서초구 원지동  산 78-12,127.0423212,37.45526372,시민공원 화장실,서초구, , , ,공원,"남자화장실 : 소변기3, 대변기1 여자화장실 : 대변기3", , , , , 
85,서울특별시 종로구 종로 297-1,서울특별시 종로구 창신동 559-1,127.0108133,37.57171889,동대문역(1호선),종로구, , , , , , , , , , 
86,서울특별시 중구 마장로 22,서울특별시 중구 신당동 251-7,127.0122844,37.56753822,DDP패션몰 1층 화장실,중구, , ,20:00~ 익일 05:00, , , , , , , 
87,서울특별시 송파구 올림픽로 25,서울특별시 송파구 잠실동  10,127.0746981,37.51706039,공중화장실(P4주차장옆),송파구, , , , , , , , , , 
88,서울특별시 강동구 한강남자전거길 3646,서울특별시 강동구 천호동 483-8,127.1196682,37.54485612,한강공원화장실광나루7,강동구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
89,"서울특별시 강북구 수유로12길 63, 101동 (수유동, 삼성쉐르빌)",서울특별시 강북구 수유동 50-31,127.0218964,37.63219596,수유1동 공동육아나눔터,강북구, , , , , , , , , , 
90,"서울특별시 강북구 덕릉로30길 49, 101동 (미아동, 청운美家)",서울특별시 강북구 미아동 164-2,127.0258839,37.63237486,미아 공동육아방,강북구, , , , , , , , , , 
91,서울특별시 강북구 인수봉로66길 9,서울특별시 강북구 수유동 410-293,127.0126155,37.64047846,강북구 육아종합지원센터 화장실,강북구, , , , , , , , , , 
92,서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59,127.0254715,37.63919464,강북구청 화장실(외부),강북구, , , , , , , , , , 
93,서울특별시 강북구 한천로139가길 10,서울특별시 강북구 수유동 190-11,127.0256745,37.6398016,강북구청 화장실(내부),강북구, , , , , , , , , , 
94, ,서울특별시 마포구 상암동  495-72,126.8739327,37.56894741,한강공원화장실난지11,마포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
95,서울특별시 마포구 한강난지로 162,서울특별시 마포구 상암동 487-301,126.884769,37.56315692,한강공원화장실난지4,마포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
96,서울특별시 마포구 마포나루길 407,서울특별시 마포구 망원동 205-5,126.8975266,37.55389717,한강공원화장실망원8,마포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
97,서울특별시 서초구 잠원로 221-124,서울특별시 서초구 잠원동 121,127.0120758,37.52050033,한강공원화장실잠원7,서초구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경수질과, , , 
98,서울특별시 강북구 삼각산로 165,서울특별시 강북구 수유동 233,127.0217883,37.64243134,수유동성당 개방화장실,강북구, , , , , , , , , , 
99,서울특별시 강북구 도봉로 162,서울특별시 강북구 미아동 126-32,127.0277075,37.62325217,신일교회 개방화장실,강북구, , , , , , , , , , 
100,서울특별시 강북구 도봉로 145,서울특별시 강북구 미아동 317-7,127.0276871,37.6217722,강명빌딩 개방화장실,강북구, , , , , , , , , , 
101,서울특별시 강북구 한천로129길 6,서울특별시 강북구 번동 417-93,127.0297171,37.63771204,강북구 가족센터 화장실,강북구, , , , , , , , , , 
102, ,서울특별시 강북구 번동  612-3,127.044624,37.62849799,벌리교 공중화장실,강북구, , , , , , , , , , 
103, ,서울특별시 도봉구 창동  756-43,127.0544742,37.64858249,중랑천변4,도봉구, , , , ,"여자대변기 2 남자대변기 1, 소변기 1",무, , , , 
104, ,서울특별시 마포구 상암동  482-166,126.8798016,37.56480292,한강공원화장실난지6,마포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
105,서울특별시 영등포구 여의동로 48,서울특별시 영등포구 여의도동 4-9,126.9218329,37.51882326,한강공원화장실여의도22,영등포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
106,서울특별시 영등포구 여의동로 343,서울특별시 영등포구 여의도동 84-4,126.9315674,37.52874144,한강공원화장실여의도11,영등포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
107,서울특별시 영등포구 여의동로 350,서울특별시 영등포구 여의도동 84-4,126.931673,37.52862477,한강공원화장실여의도10,영등포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
108, ,서울특별시 영등포구 여의도동  85-6,126.9344795,37.5275386,한강공원화장실여의도7,영등포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
109, ,서울특별시 영등포구 여의도동  85,126.9376755,37.52505937,한강공원화장실여의도5,영등포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
110,서울특별시 용산구 이촌로72길 62,서울특별시 용산구 이촌동 302-17,126.9705964,37.51793366,한강공원화장실이촌11,용산구,02-3780-0780,공중(1층 외부 장애인화장실),상시,공원, , ,한강사업본부 환경과, , , 
111,서울특별시 서초구 한강남자전거길 2172,서울특별시 서초구 반포동 115-5,126.9943119,37.50873503,한강공원화장실반포4,서초구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
112,서울특별시 서초구 한강남자전거길 2262,서울특별시 서초구 잠원동 122-1,127.0023392,37.5130731,한강공원화장실반포2,서초구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
113,서울특별시 강남구 강남대로 708,서울특별시 강남구 압구정동 386-1,127.0159582,37.52431326,한강공원화장실잠원6,강남구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
114, ,서울특별시 영등포구 여의도동  84,126.9295678,37.53049169,한강공원화장실여의도13,영등포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
115, ,서울특별시 마포구 상암동  1536-1,126.8891246,37.56049353,한강공원화장실난지1,마포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
116, ,서울특별시 마포구 상암동  482-417,126.8791763,37.56612686,한강공원화장실난지8,마포구,02-3780-0780,공중,상시,공원, , ,한강사업본부 환경과, , , 
117, ,서울특별시 도봉구 도봉동  2-6,127.0494572,37.69092611,중랑천변3,도봉구, ,공중화장실,상시, ,"여자대변기 2 남자대변기 1, 소변기 1",무, , , , 
118,서울특별시 강북구 솔매로49길 14,서울특별시 강북구 미아동 197-1,127.0270104,37.62708683,미아동복합청사 화장실,강북구, , , , , , , , , , 
